name	family	genus	species
A35R_scaffold193|length_1842	Virgaviridae	Tobamovirus	Tomato mosaic virus
A39R_scaffold238|length_717	Virgaviridae	Tobamovirus	Tomato mosaic virus
A40R_scaffold2|length_3622	Virgaviridae	Tobamovirus	Tobacco mild green mosaic virus
A48R_scaffold32|length_1483	Virgaviridae	Tobamovirus	Pepper mild mottle virus
A37R_scaffold218|length_1442	Virgaviridae	Tobamovirus	Pepper mild mottle virus
A36R_scaffold586|length_787	Virgaviridae	Tobamovirus	Tomato mosaic virus
A45R_scaffold148|length_811	Virgaviridae	Tobamovirus	Tomato mosaic virus
A39R_scaffold215|length_753	Virgaviridae	Tobamovirus	Tomato mosaic virus
A40R_scaffold74|length_2246	Virgaviridae	Tobamovirus	Tobacco mild green mosaic virus
A37R_scaffold1363|length_734	Virgaviridae	Tobamovirus	Pepper mild mottle virus
A37R_scaffold1442|length_717	Virgaviridae	Tobamovirus	Pepper mild mottle virus
A30R_scaffold928|length_711	Virgaviridae	Tobamovirus	Tomato mosaic virus
A45R_scaffold216|length_689	Virgaviridae	Tobamovirus	Tomato mosaic virus
A45R_scaffold215|length_689	Virgaviridae	Tobamovirus	Tomato mosaic virus
A45R_scaffold6|length_1931	Virgaviridae	Tobamovirus	Tomato mosaic virus
A57R_scaffold221|length_716	Virgaviridae	Tobamovirus	Tobacco mild green mosaic virus
A56R_scaffold478|length_700	Virgaviridae	Tobamovirus	Pepper mild mottle virus
A56R_scaffold477|length_700	Virgaviridae	Tobamovirus	Pepper mild mottle virus
A45R_scaffold190|length_753	Virgaviridae	Tobamovirus	Tomato mosaic virus
A45R_scaffold229|length_682	Virgaviridae	Tobamovirus	Tomato mosaic virus
A45R_scaffold227|length_682	Virgaviridae	Tobamovirus	Tomato mosaic virus
A45R_scaffold226|length_682	Virgaviridae	Tobamovirus	Tomato mosaic virus
A45R_scaffold225|length_682	Virgaviridae	Tobamovirus	Tomato mosaic virus
A45R_scaffold236|length_679	Virgaviridae	Tobamovirus	Tomato mosaic virus
A45R_scaffold235|length_679	Virgaviridae	Tobamovirus	Tomato mosaic virus
A45R_scaffold234|length_679	Virgaviridae	Tobamovirus	Tomato mosaic virus
A45R_scaffold233|length_679	Virgaviridae	Tobamovirus	Tomato mosaic virus
A5R_scaffold1158|length_714	Virgaviridae	Tobamovirus	Pepper mild mottle virus
A1R_scaffold641|length_753	Virgaviridae	Tobamovirus	Tomato mosaic virus
A52R_scaffold13|length_1374	Virgaviridae	Tobamovirus	Pepper mild mottle virus
A56R_scaffold486|length_693	Virgaviridae	Tobamovirus	Tomato mosaic virus
A39R_scaffold290|length_661	Virgaviridae	Tobamovirus	Tomato mosaic virus
A39R_scaffold291|length_660	Virgaviridae	Tobamovirus	Tomato mosaic virus
A1R_scaffold712|length_708	Virgaviridae	Tobamovirus	Tomato mosaic virus
A36R_scaffold715|length_724	Virgaviridae	Tobamovirus	Tomato mosaic virus
A38R_scaffold121|length_1992	Virgaviridae	Tobamovirus	Pepper mild mottle virus
A4R_scaffold531|length_696	Virgaviridae	Tobamovirus	Pepper mild mottle virus
A53R_scaffold724|length_657	Virgaviridae	Tobamovirus	Pepper mild mottle virus
A37R_scaffold1786|length_644	Virgaviridae	Tobamovirus	Pepper mild mottle virus
A37R_scaffold1783|length_644	Virgaviridae	Tobamovirus	Pepper mild mottle virus
A37R_scaffold1782|length_644	Virgaviridae	Tobamovirus	Pepper mild mottle virus
A37R_scaffold1781|length_644	Virgaviridae	Tobamovirus	Pepper mild mottle virus
A37R_scaffold1780|length_644	Virgaviridae	Tobamovirus	Pepper mild mottle virus
A37R_scaffold1779|length_644	Virgaviridae	Tobamovirus	Pepper mild mottle virus
A38R_scaffold817|length_876	Virgaviridae	Tobamovirus	Tobacco mild green mosaic virus
A45R_scaffold241|length_667	Virgaviridae	Tobamovirus	Tobacco mild green mosaic virus
A36R_scaffold347|length_990	Virgaviridae	Tobamovirus	Tomato mosaic virus
A28R_scaffold229|length_1302	Virgaviridae	Tobamovirus	Tobacco mosaic virus
A38R_scaffold732|length_921	Virgaviridae	Tobamovirus	Tobacco mild green mosaic virus
A38R_scaffold1128|length_745	Virgaviridae	Tobamovirus	Tobacco mild green mosaic virus
A56R_scaffold548|length_648	Virgaviridae	Tobamovirus	Pepper mild mottle virus
A56R_scaffold547|length_648	Virgaviridae	Tobamovirus	Pepper mild mottle virus
A56R_scaffold546|length_648	Virgaviridae	Tobamovirus	Pepper mild mottle virus
A23R_scaffold207|length_1291	Virgaviridae	Tobamovirus	Tomato mosaic virus
A46R_scaffold460|length_701	Virgaviridae	Tobamovirus	Cucumber green mottle mosaic virus
A36R_scaffold801|length_680	Virgaviridae	Tobamovirus	Tomato mosaic virus
A40R_scaffold607|length_626	Virgaviridae	Tobamovirus	Tomato mosaic virus
A36R_scaffold770|length_692	Virgaviridae	Tobamovirus	Tomato mosaic virus
A53R_scaffold860|length_622	Virgaviridae	Tobamovirus	Pepper mild mottle virus
A5R_scaffold225|length_1478	Virgaviridae	Tobamovirus	Pepper mild mottle virus
A46R_scaffold471|length_695	Virgaviridae	Tobamovirus	Cucumber green mottle mosaic virus
A36R_scaffold823|length_674	Virgaviridae	Tobamovirus	Tomato mosaic virus
A36R_scaffold819|length_675	Virgaviridae	Tobamovirus	Tomato mosaic virus
A36R_scaffold818|length_675	Virgaviridae	Tobamovirus	Tomato mosaic virus
A36R_scaffold817|length_675	Virgaviridae	Tobamovirus	Tomato mosaic virus
A36R_scaffold816|length_675	Virgaviridae	Tobamovirus	Tomato mosaic virus
A36R_scaffold815|length_675	Virgaviridae	Tobamovirus	Tomato mosaic virus
A36R_scaffold814|length_675	Virgaviridae	Tobamovirus	Tomato mosaic virus
A36R_scaffold813|length_675	Virgaviridae	Tobamovirus	Tomato mosaic virus
A36R_scaffold812|length_675	Virgaviridae	Tobamovirus	Tomato mosaic virus
A36R_scaffold811|length_675	Virgaviridae	Tobamovirus	Tomato mosaic virus
A15R_scaffold1936|length_641	Virgaviridae	Tobamovirus	Pepper mild mottle virus
A59R_scaffold251|length_669	Virgaviridae	Tobamovirus	Pepper mild mottle virus
A46R_scaffold485|length_687	Virgaviridae	Tobamovirus	Cucumber green mottle mosaic virus
A30R_scaffold1268|length_633	Virgaviridae	Tobamovirus	Pepper mild mottle virus
A58R_scaffold508|length_630	Virgaviridae	Tobamovirus	Pepper mild mottle virus
A35R_scaffold247|length_1690	Virgaviridae	Tobamovirus	Tomato mosaic virus
A38R_scaffold172|length_1828	Virgaviridae	Tobamovirus	Pepper mild mottle virus
A38R_scaffold168|length_1828	Virgaviridae	Tobamovirus	Pepper mild mottle virus
A38R_scaffold164|length_1828	Virgaviridae	Tobamovirus	Pepper mild mottle virus
A38R_scaffold162|length_1828	Virgaviridae	Tobamovirus	Pepper mild mottle virus
A38R_scaffold158|length_1828	Virgaviridae	Tobamovirus	Pepper mild mottle virus
A38R_scaffold157|length_1828	Virgaviridae	Tobamovirus	Pepper mild mottle virus
A38R_scaffold156|length_1828	Virgaviridae	Tobamovirus	Pepper mild mottle virus
A38R_scaffold155|length_1828	Virgaviridae	Tobamovirus	Pepper mild mottle virus
A38R_scaffold176|length_1828	Virgaviridae	Tobamovirus	Pepper mild mottle virus
A38R_scaffold175|length_1828	Virgaviridae	Tobamovirus	Pepper mild mottle virus
A38R_scaffold174|length_1828	Virgaviridae	Tobamovirus	Pepper mild mottle virus
A38R_scaffold173|length_1828	Virgaviridae	Tobamovirus	Pepper mild mottle virus
A38R_scaffold171|length_1828	Virgaviridae	Tobamovirus	Pepper mild mottle virus
A38R_scaffold170|length_1828	Virgaviridae	Tobamovirus	Pepper mild mottle virus
A38R_scaffold169|length_1828	Virgaviridae	Tobamovirus	Pepper mild mottle virus
A38R_scaffold114|length_2051	Virgaviridae	Tobamovirus	Pepper mild mottle virus
A36R_scaffold994|length_607	Virgaviridae	Tobamovirus	Pepper mild mottle virus
A46R_scaffold230|length_946	Virgaviridae	Tobamovirus	Cucumber green mottle mosaic virus
A38R_scaffold84|length_2414	Virgaviridae	Tobamovirus	Pepper mild mottle virus
A38R_scaffold83|length_2414	Virgaviridae	Tobamovirus	Pepper mild mottle virus
A53R_scaffold482|length_755	Virgaviridae	Tobamovirus	Pepper mild mottle virus
A53R_scaffold481|length_755	Virgaviridae	Tobamovirus	Pepper mild mottle virus
A53R_scaffold879|length_617	Virgaviridae	Tobamovirus	Pepper mild mottle virus
A40R_scaffold629|length_600	Virgaviridae	Tobamovirus	Pepper mild mottle virus
A40R_scaffold628|length_600	Virgaviridae	Tobamovirus	Pepper mild mottle virus
A40R_scaffold627|length_600	Virgaviridae	Tobamovirus	Pepper mild mottle virus
A40R_scaffold625|length_600	Virgaviridae	Tobamovirus	Pepper mild mottle virus
A38R_scaffold1567|length_623	Virgaviridae	Tobamovirus	Pepper mild mottle virus
A47R_scaffold14|length_2382	Virgaviridae	Tobamovirus	Cucumber green mottle mosaic virus
A46R_scaffold405|length_746	Virgaviridae	Tobamovirus	Cucumber green mottle mosaic virus
A39R_scaffold332|length_607	Virgaviridae	Tobamovirus	Tomato mosaic virus
A56R_scaffold173|length_1181	Virgaviridae	Tobamovirus	Pepper mild mottle virus
A40R_scaffold616|length_611	Virgaviridae	Tobamovirus	Tomato mosaic virus
A40R_scaffold609|length_623	Virgaviridae	Tobamovirus	Tomato mosaic virus
A39R_scaffold385|length_575	Virgaviridae	Tobamovirus	Tomato mosaic virus
A39R_scaffold386|length_573	Virgaviridae	Tobamovirus	Tomato mosaic virus
A35R_scaffold317|length_1578	Virgaviridae	Tobamovirus	Tomato mosaic virus
A28R_scaffold1074|length_616	Virgaviridae	Tobamovirus	Tobacco mosaic virus
A45R_scaffold2|length_2389	Virgaviridae	Tobamovirus	Pepper mild mottle virus
A46R_scaffold110|length_1282	Virgaviridae	Tobamovirus	Cucumber green mottle mosaic virus
A4R_scaffold637|length_650	Virgaviridae	Tobamovirus	Pepper mild mottle virus
A36R_scaffold752|length_703	Virgaviridae	Tobamovirus	Tomato mosaic virus
A55R_scaffold80|length_1185	Virgaviridae	Tobamovirus	Tobacco mild green mosaic virus
A56R_scaffold458|length_712	Virgaviridae	Tobamovirus	Pepper mild mottle virus
A40R_scaffold286|length_1250	Virgaviridae	Tobamovirus	Tomato mosaic virus
A56R_scaffold654|length_569	Virgaviridae	Tobamovirus	Tomato mosaic virus
A56R_scaffold653|length_569	Virgaviridae	Tobamovirus	Tomato mosaic virus
A56R_scaffold652|length_569	Virgaviridae	Tobamovirus	Tomato mosaic virus
A56R_scaffold651|length_569	Virgaviridae	Tobamovirus	Tomato mosaic virus
A56R_scaffold650|length_569	Virgaviridae	Tobamovirus	Tomato mosaic virus
A56R_scaffold649|length_569	Virgaviridae	Tobamovirus	Tomato mosaic virus
A56R_scaffold659|length_569	Virgaviridae	Tobamovirus	Tomato mosaic virus
A56R_scaffold658|length_569	Virgaviridae	Tobamovirus	Tomato mosaic virus
A56R_scaffold657|length_569	Virgaviridae	Tobamovirus	Tomato mosaic virus
A56R_scaffold656|length_569	Virgaviridae	Tobamovirus	Tomato mosaic virus
A56R_scaffold655|length_569	Virgaviridae	Tobamovirus	Tomato mosaic virus
A5R_scaffold1548|length_617	Virgaviridae	Tobamovirus	Tobacco mosaic virus
A36R_scaffold2|length_4585	Virgaviridae	Tobamovirus	Tobacco mild green mosaic virus
A28R_scaffold1038|length_628	Virgaviridae	Tobamovirus	Tobacco mild green mosaic virus
A38R_scaffold1400|length_662	Virgaviridae	Tobamovirus	Tobacco mild green mosaic virus
A1R_scaffold879|length_644	Virgaviridae	Tobamovirus	Tomato mosaic virus
A46R_scaffold72|length_1424	Virgaviridae	Tobamovirus	Tobacco mild green mosaic virus
A28R_scaffold1066|length_619	Virgaviridae	Tobamovirus	Pepper mild mottle virus
A28R_scaffold1232|length_562	Virgaviridae	Tobamovirus	Pepper mild mottle virus
A28R_scaffold1231|length_562	Virgaviridae	Tobamovirus	Pepper mild mottle virus
A38R_scaffold214|length_1676	Virgaviridae	Tobamovirus	Pepper mild mottle virus
A38R_scaffold213|length_1676	Virgaviridae	Tobamovirus	Pepper mild mottle virus
A38R_scaffold219|length_1675	Virgaviridae	Tobamovirus	Pepper mild mottle virus
A36R_scaffold1080|length_577	Virgaviridae	Tobamovirus	Paprika mild mottle virus
A28R_scaffold1145|length_588	Virgaviridae	Tobamovirus	Tomato mottle mosaic virus
A45R_scaffold244|length_661	Virgaviridae	Tobamovirus	Tomato mosaic virus
A45R_scaffold283|length_573	Virgaviridae	Tobamovirus	Tomato mosaic virus
A45R_scaffold281|length_573	Virgaviridae	Tobamovirus	Tomato mosaic virus
A36R_scaffold1163|length_561	Virgaviridae	Tobamovirus	Tomato mosaic virus
A45R_scaffold265|length_608	Virgaviridae	Tobamovirus	Tomato mosaic virus
A37R_scaffold148|length_1621	Virgaviridae	Tobamovirus	Tobacco mosaic virus
A58R_scaffold697|length_528	Virgaviridae	Tobamovirus	Tobacco mosaic virus
A38R_scaffold93|length_2321	Virgaviridae	Tobamovirus	Pepper mild mottle virus
A47R_scaffold2010|length_596	Virgaviridae	Tobamovirus	Pepper mild mottle virus
A28R_scaffold253|length_1231	Virgaviridae	Tobamovirus	Tobacco mild green mosaic virus
A28R_scaffold252|length_1231	Virgaviridae	Tobamovirus	Tobacco mild green mosaic virus
A56R_scaffold710|length_549	Virgaviridae	Tobamovirus	Pepper mild mottle virus
A38R_scaffold1372|length_673	Virgaviridae	Tobamovirus	Pepper mild mottle virus
A46R_scaffold120|length_1234	Virgaviridae	Tobamovirus	Cucumber green mottle mosaic virus
A53R_scaffold1315|length_546	Virgaviridae	Tobamovirus	Pepper mild mottle virus
A36R_scaffold1230|length_546	Virgaviridae	Tobamovirus	Pepper mild mottle virus
A36R_scaffold1229|length_546	Virgaviridae	Tobamovirus	Pepper mild mottle virus
A36R_scaffold1228|length_546	Virgaviridae	Tobamovirus	Pepper mild mottle virus
A36R_scaffold1227|length_546	Virgaviridae	Tobamovirus	Pepper mild mottle virus
A36R_scaffold1226|length_546	Virgaviridae	Tobamovirus	Pepper mild mottle virus
A36R_scaffold1225|length_546	Virgaviridae	Tobamovirus	Pepper mild mottle virus
A56R_scaffold734|length_543	Virgaviridae	Tobamovirus	Tobacco mild green mosaic virus
A38R_scaffold2087|length_543	Virgaviridae	Tobamovirus	Tobacco mild green mosaic virus
A56R_scaffold747|length_542	Virgaviridae	Tobamovirus	Tobacco mild green mosaic virus
A41R_scaffold28|length_1667	Virgaviridae	Tobamovirus	Pepper mild mottle virus
A38R_scaffold1432|length_656	Virgaviridae	Tobamovirus	Tobacco mild green mosaic virus
A39R_scaffold26|length_1656	Virgaviridae	Tobamovirus	Pepper mild mottle virus
A37R_scaffold2475|length_542	Virgaviridae	Tobamovirus	Pepper mild mottle virus
A40R_scaffold75|length_2239	Virgaviridae	Tobamovirus	Tobacco mild green mosaic virus
A49R_scaffold1|length_2721	Virgaviridae	Tobamovirus	Tobacco mild green mosaic virus
A56R_scaffold65|length_1993	Virgaviridae	Tobamovirus	Paprika mild mottle virus
A56R_scaffold60|length_2061	Virgaviridae	Tobamovirus	Paprika mild mottle virus
A56R_scaffold59|length_2061	Virgaviridae	Tobamovirus	Paprika mild mottle virus
A56R_scaffold58|length_2061	Virgaviridae	Tobamovirus	Paprika mild mottle virus
A56R_scaffold57|length_2061	Virgaviridae	Tobamovirus	Paprika mild mottle virus
A56R_scaffold56|length_2126	Virgaviridae	Tobamovirus	Paprika mild mottle virus
A56R_scaffold55|length_2130	Virgaviridae	Tobamovirus	Paprika mild mottle virus
A56R_scaffold16|length_2657	Virgaviridae	Tobamovirus	Paprika mild mottle virus
A56R_scaffold19|length_2510	Virgaviridae	Tobamovirus	Paprika mild mottle virus
A56R_scaffold50|length_2169	Virgaviridae	Tobamovirus	Paprika mild mottle virus
A56R_scaffold49|length_2169	Virgaviridae	Tobamovirus	Paprika mild mottle virus
A56R_scaffold44|length_2178	Virgaviridae	Tobamovirus	Paprika mild mottle virus
A56R_scaffold37|length_2242	Virgaviridae	Tobamovirus	Paprika mild mottle virus
A56R_scaffold36|length_2242	Virgaviridae	Tobamovirus	Paprika mild mottle virus
A56R_scaffold35|length_2242	Virgaviridae	Tobamovirus	Paprika mild mottle virus
A56R_scaffold48|length_2169	Virgaviridae	Tobamovirus	Paprika mild mottle virus
A56R_scaffold47|length_2169	Virgaviridae	Tobamovirus	Paprika mild mottle virus
A56R_scaffold46|length_2169	Virgaviridae	Tobamovirus	Paprika mild mottle virus
A56R_scaffold52|length_2157	Virgaviridae	Tobamovirus	Paprika mild mottle virus
A56R_scaffold45|length_2174	Virgaviridae	Tobamovirus	Paprika mild mottle virus
A56R_scaffold34|length_2242	Virgaviridae	Tobamovirus	Paprika mild mottle virus
A56R_scaffold51|length_2157	Virgaviridae	Tobamovirus	Paprika mild mottle virus
A26R_scaffold2256|length_547	Virgaviridae	Tobamovirus	Tomato mosaic virus
A50R_scaffold56|length_1096	Virgaviridae	Tobamovirus	Pepper mild mottle virus
A39R_scaffold413|length_550	Virgaviridae	Tobamovirus	Tomato mosaic virus
A36R_scaffold904|length_642	Virgaviridae	Tobamovirus	Tomato mosaic virus
A36R_scaffold905|length_642	Virgaviridae	Tobamovirus	Tomato mosaic virus
A53R_scaffold1289|length_549	Virgaviridae	Tobamovirus	Pepper mild mottle virus
