name	circle	family	raw_family
A10D_scaffold784|length_2871	linear	unknown	unknown
A10D_scaffold798|length_2850	linear	unknown	unknown
A10D_scaffold805|length_2838	linear	unknown	unknown
A10D_scaffold844|length_2779	linear	unknown	unknown
A10D_scaffold856|length_2765	linear	unknown	unknown
A10D_scaffold883|length_2736	linear	unknown	unknown
A10D_scaffold887|length_2728	linear	unknown	unknown
A10D_scaffold890|length_2726	linear	unknown	unknown
A10D_scaffold911|length_2702	linear	unknown	unknown
A10D_scaffold915|length_2695	linear	unknown	unknown
A10D_scaffold983|length_2599	linear	unknown	unknown
A10D_scaffold996|length_2584	linear	unknown	unknown
A10D_scaffold1025|length_2542	linear	unknown	unknown
A10D_scaffold1049|length_2514	linear	unknown	unknown
A10D_scaffold1054|length_2511	linear	unknown	unknown
A10D_scaffold1056|length_2508	linear	unknown	unknown
A10D_scaffold1072|length_2494	linear	unknown	unknown
A10D_scaffold1076|length_2492	linear	unknown	unknown
A10D_scaffold1091|length_2478	linear	unknown	unknown
A10D_scaffold1092|length_2477	linear	unknown	unknown
A10D_scaffold1094|length_2476	linear	unknown	unknown
A10D_scaffold1095|length_2476	linear	unknown	unknown
A10D_scaffold1098|length_2472	linear	unknown	unknown
A10D_scaffold1102|length_2469	linear	unknown	unknown
A10D_scaffold1106|length_2468	linear	unknown	unknown
A10D_scaffold1108|length_2468	linear	unknown	unknown
A10D_scaffold1109|length_2465	linear	unknown	unknown
A10D_scaffold1113|length_2457	linear	unknown	unknown
A10D_scaffold1115|length_2457	linear	unknown	unknown
A10D_scaffold1125|length_2449	linear	unknown	unknown
A10D_scaffold1164|length_2412	circular	unknown	unknown
A10D_scaffold1187|length_2388	linear	unknown	unknown
A10D_scaffold1204|length_2373	linear	unknown	unknown
A10D_scaffold1236|length_2348	linear	unknown	unknown
A10D_scaffold1240|length_2345	linear	unknown	unknown
A10D_scaffold1268|length_2319	linear	unknown	unknown
A10D_scaffold1278|length_2305	linear	unknown	unknown
A10D_scaffold1291|length_2294	linear	unknown	unknown
A10D_scaffold1306|length_2280	linear	unknown	unknown
A10D_scaffold1308|length_2277	linear	unknown	unknown
A10D_scaffold1317|length_2272	linear	unknown	unknown
A10D_scaffold1338|length_2258	linear	unknown	unknown
A10D_scaffold1345|length_2250	linear	unknown	unknown
A10D_scaffold1360|length_2241	linear	unknown	unknown
A10D_scaffold1368|length_2233	linear	unknown	unknown
A10D_scaffold1393|length_2219	linear	unknown	unknown
A10D_scaffold1413|length_2204	linear	unknown	unknown
A10D_scaffold1429|length_2195	circular	unknown	unknown
A10D_scaffold1440|length_2185	linear	unknown	unknown
A10D_scaffold1453|length_2168	linear	unknown	unknown
A10D_scaffold1518|length_2116	linear	unknown	unknown
A10D_scaffold1520|length_2115	linear	unknown	unknown
A10D_scaffold1525|length_2112	linear	unknown	unknown
A10D_scaffold1587|length_2061	linear	unknown	unknown
A10D_scaffold1596|length_2055	linear	unknown	unknown
A10D_scaffold1612|length_2045	linear	unknown	unknown
A10D_scaffold1624|length_2039	circular	unknown	unknown
A10D_scaffold1625|length_2039	linear	unknown	unknown
A10D_scaffold1633|length_2030	circular	unknown	unknown
A10D_scaffold1658|length_2017	linear	unknown	unknown
A10D_scaffold1684|length_2001	linear	unknown	unknown
A10D_scaffold1690|length_1998	linear	unknown	unknown
A10D_scaffold1739|length_1975	linear	unknown	unknown
A10D_scaffold1740|length_1973	linear	unknown	unknown
A10D_scaffold1755|length_1966	linear	unknown	unknown
A10D_scaffold1770|length_1958	linear	unknown	unknown
A10D_scaffold1791|length_1947	linear	unknown	unknown
A10D_scaffold1822|length_1929	linear	unknown	unknown
A10D_scaffold1833|length_1922	linear	unknown	unknown
A10D_scaffold1858|length_1909	linear	unknown	unknown
A10D_scaffold1865|length_1906	linear	unknown	unknown
A10D_scaffold1901|length_1886	linear	unknown	unknown
A10D_scaffold1914|length_1883	linear	unknown	unknown
A10D_scaffold1925|length_1878	linear	unknown	unknown
A10D_scaffold1938|length_1872	linear	unknown	unknown
A10D_scaffold1949|length_1867	linear	unknown	unknown
A10D_scaffold1973|length_1857	linear	unknown	unknown
A10D_scaffold1980|length_1851	linear	unknown	unknown
A10D_scaffold1985|length_1849	linear	unknown	unknown
A10D_scaffold2008|length_1834	linear	unknown	unknown
A10D_scaffold2024|length_1828	linear	unknown	unknown
A10D_scaffold2036|length_1822	linear	unknown	unknown
A10D_scaffold2045|length_1816	linear	unknown	unknown
A10D_scaffold2056|length_1812	linear	unknown	unknown
A10D_scaffold2100|length_1797	linear	unknown	unknown
A10D_scaffold2108|length_1796	linear	unknown	unknown
A10D_scaffold2110|length_1795	linear	unknown	unknown
A10D_scaffold2146|length_1779	linear	unknown	unknown
A10D_scaffold2155|length_1776	linear	unknown	unknown
A10D_scaffold2173|length_1766	linear	unknown	unknown
A10D_scaffold2193|length_1758	linear	unknown	unknown
A10D_scaffold2203|length_1754	linear	unknown	unknown
A10D_scaffold2218|length_1750	linear	unknown	unknown
A10D_scaffold2233|length_1744	linear	unknown	unknown
A10D_scaffold2241|length_1741	circular	unknown	unknown
A10D_scaffold2263|length_1734	linear	unknown	unknown
A10D_scaffold2280|length_1723	linear	unknown	unknown
A10D_scaffold2286|length_1721	linear	unknown	unknown
A10D_scaffold2301|length_1715	linear	unknown	unknown
A10D_scaffold2315|length_1710	linear	unknown	unknown
A10D_scaffold2346|length_1698	linear	unknown	unknown
A10D_scaffold2382|length_1689	linear	unknown	unknown
A10D_scaffold2389|length_1686	linear	unknown	unknown
A10D_scaffold2404|length_1681	circular	unknown	unknown
A10D_scaffold2421|length_1678	linear	unknown	unknown
A10D_scaffold2459|length_1666	linear	unknown	unknown
A10D_scaffold2463|length_1665	linear	unknown	unknown
A10D_scaffold2485|length_1656	linear	unknown	unknown
A10D_scaffold2509|length_1648	linear	unknown	unknown
A10D_scaffold2511|length_1647	linear	unknown	unknown
A10D_scaffold2559|length_1633	linear	unknown	unknown
A10D_scaffold2571|length_1631	linear	unknown	unknown
A10D_scaffold2576|length_1629	linear	unknown	unknown
A10D_scaffold2590|length_1626	linear	unknown	unknown
A10D_scaffold2608|length_1622	linear	unknown	unknown
A10D_scaffold2622|length_1618	linear	unknown	unknown
A10D_scaffold2665|length_1603	linear	unknown	unknown
A10D_scaffold2713|length_1587	linear	unknown	unknown
A10D_scaffold2730|length_1582	linear	unknown	unknown
A10D_scaffold2731|length_1581	linear	unknown	unknown
A10D_scaffold2734|length_1580	linear	unknown	unknown
A10D_scaffold2742|length_1577	linear	unknown	unknown
A10D_scaffold2753|length_1574	circular	unknown	unknown
A10D_scaffold2755|length_1573	circular	unknown	unknown
A10D_scaffold2770|length_1565	linear	unknown	unknown
A10D_scaffold2791|length_1559	linear	unknown	unknown
A10D_scaffold2792|length_1559	linear	unknown	unknown
A10D_scaffold2802|length_1558	linear	unknown	unknown
A10D_scaffold2854|length_1542	linear	unknown	unknown
A10D_scaffold2875|length_1536	linear	unknown	unknown
A10D_scaffold2890|length_1531	linear	unknown	unknown
A10D_scaffold2895|length_1530	linear	unknown	unknown
A10D_scaffold2896|length_1530	linear	unknown	unknown
A10D_scaffold2907|length_1526	linear	unknown	unknown
A10D_scaffold2913|length_1524	linear	unknown	unknown
A10D_scaffold2994|length_1499	linear	unknown	unknown
A10D_scaffold2995|length_1498	linear	unknown	unknown
A10D_scaffold3016|length_1492	linear	unknown	unknown
A10D_scaffold3028|length_1489	linear	unknown	unknown
A10D_scaffold3050|length_1482	circular	unknown	unknown
A10D_scaffold3070|length_1477	linear	unknown	unknown
A10D_scaffold3091|length_1470	linear	unknown	unknown
A10D_scaffold3134|length_1458	linear	unknown	unknown
A10D_scaffold3140|length_1457	linear	unknown	unknown
A10D_scaffold3148|length_1456	linear	unknown	unknown
A10D_scaffold3162|length_1452	circular	unknown	unknown
A10D_scaffold3177|length_1449	linear	unknown	unknown
A10D_scaffold3218|length_1435	linear	unknown	unknown
A10D_scaffold3219|length_1434	circular	unknown	unknown
A10D_scaffold3244|length_1428	linear	unknown	unknown
A10D_scaffold3257|length_1424	linear	unknown	unknown
A10D_scaffold3304|length_1411	linear	unknown	unknown
A10D_scaffold3312|length_1409	linear	unknown	unknown
A10D_scaffold3341|length_1401	linear	unknown	unknown
A10D_scaffold3345|length_1399	linear	unknown	unknown
A10D_scaffold3356|length_1397	linear	unknown	unknown
A10D_scaffold3417|length_1381	linear	unknown	unknown
A10D_scaffold3418|length_1380	linear	unknown	unknown
A10D_scaffold3436|length_1375	circular	unknown	unknown
A10D_scaffold3490|length_1362	linear	unknown	unknown
A10D_scaffold3531|length_1355	linear	unknown	unknown
A10D_scaffold3538|length_1354	linear	unknown	unknown
A10D_scaffold3598|length_1341	linear	unknown	unknown
A10D_scaffold3607|length_1339	linear	unknown	unknown
A10D_scaffold3611|length_1339	linear	unknown	unknown
A10D_scaffold3624|length_1336	circular	unknown	unknown
A10D_scaffold3638|length_1333	linear	unknown	unknown
A10D_scaffold3675|length_1322	linear	unknown	unknown
A10D_scaffold3685|length_1321	linear	unknown	unknown
A10D_scaffold3744|length_1309	circular	unknown	unknown
A10D_scaffold3786|length_1302	linear	unknown	unknown
A10D_scaffold3813|length_1296	linear	unknown	unknown
A10D_scaffold3869|length_1286	linear	unknown	unknown
A10D_scaffold3878|length_1284	linear	unknown	unknown
A10D_scaffold3895|length_1281	linear	unknown	unknown
A10D_scaffold3915|length_1278	linear	unknown	unknown
A10D_scaffold3955|length_1271	linear	unknown	unknown
A10D_scaffold3997|length_1262	linear	unknown	unknown
A10D_scaffold4041|length_1253	circular	unknown	unknown
A10D_scaffold4056|length_1250	linear	unknown	unknown
A10D_scaffold4081|length_1245	linear	unknown	unknown
A10D_scaffold4082|length_1245	circular	unknown	unknown
A10D_scaffold4097|length_1241	linear	unknown	unknown
A10D_scaffold4105|length_1240	linear	unknown	unknown
A10D_scaffold4110|length_1240	linear	unknown	unknown
A10D_scaffold4190|length_1224	linear	unknown	unknown
A10D_scaffold4210|length_1221	linear	unknown	unknown
A10D_scaffold4224|length_1219	linear	unknown	unknown
A10D_scaffold4237|length_1217	linear	unknown	unknown
A10D_scaffold4276|length_1210	linear	unknown	unknown
A10D_scaffold4347|length_1198	linear	unknown	unknown
A10D_scaffold4355|length_1196	circular	unknown	unknown
A10D_scaffold4387|length_1193	linear	unknown	unknown
A10D_scaffold4425|length_1188	linear	unknown	unknown
A10D_scaffold4429|length_1188	linear	unknown	unknown
A10D_scaffold4448|length_1183	linear	unknown	unknown
A10D_scaffold4464|length_1182	linear	unknown	unknown
A10D_scaffold4475|length_1180	linear	unknown	unknown
A10D_scaffold4496|length_1177	linear	unknown	unknown
A10D_scaffold4526|length_1172	linear	unknown	unknown
A10D_scaffold4534|length_1170	linear	unknown	unknown
A10D_scaffold4579|length_1165	linear	unknown	unknown
A10D_scaffold4639|length_1153	linear	unknown	unknown
A10D_scaffold4683|length_1145	linear	unknown	unknown
A10D_scaffold4688|length_1144	linear	unknown	unknown
A10D_scaffold4690|length_1144	linear	unknown	unknown
A10D_scaffold4737|length_1136	linear	unknown	unknown
A10D_scaffold4785|length_1130	linear	unknown	unknown
A10D_scaffold4790|length_1129	linear	unknown	unknown
A10D_scaffold4831|length_1122	linear	unknown	unknown
A10D_scaffold4885|length_1115	linear	unknown	unknown
A10D_scaffold4902|length_1112	circular	unknown	unknown
A10D_scaffold4908|length_1111	linear	unknown	unknown
A10D_scaffold4918|length_1110	linear	unknown	unknown
A10D_scaffold4942|length_1106	linear	unknown	unknown
A10D_scaffold4969|length_1102	linear	unknown	unknown
A10D_scaffold4976|length_1101	linear	unknown	unknown
A10D_scaffold4986|length_1100	linear	unknown	unknown
A10D_scaffold5051|length_1092	linear	unknown	unknown
A10D_scaffold5052|length_1092	linear	unknown	unknown
A10D_scaffold5054|length_1091	linear	unknown	unknown
A10D_scaffold5075|length_1088	linear	unknown	unknown
A10D_scaffold5089|length_1087	linear	unknown	unknown
A10D_scaffold5100|length_1085	linear	unknown	unknown
A10D_scaffold5157|length_1079	linear	unknown	unknown
A10D_scaffold5160|length_1079	linear	unknown	unknown
A10D_scaffold5180|length_1076	linear	unknown	unknown
A10D_scaffold5198|length_1074	linear	unknown	unknown
A10D_scaffold5238|length_1068	linear	unknown	unknown
A10D_scaffold5263|length_1066	circular	unknown	unknown
A10D_scaffold5286|length_1063	linear	unknown	unknown
A10D_scaffold5296|length_1062	linear	unknown	unknown
A10D_scaffold5320|length_1059	linear	unknown	unknown
A10D_scaffold5326|length_1059	linear	unknown	unknown
A10D_scaffold5327|length_1059	linear	unknown	unknown
A10D_scaffold5335|length_1058	linear	unknown	unknown
A10D_scaffold5341|length_1057	linear	unknown	unknown
A10D_scaffold5346|length_1057	linear	unknown	unknown
A10D_scaffold5361|length_1054	linear	unknown	unknown
A10D_scaffold5379|length_1053	linear	unknown	unknown
A10D_scaffold5385|length_1053	linear	unknown	unknown
A10D_scaffold5414|length_1049	linear	unknown	unknown
A10D_scaffold5489|length_1039	circular	unknown	unknown
A10D_scaffold5509|length_1038	linear	unknown	unknown
A10D_scaffold5559|length_1031	linear	unknown	unknown
A10D_scaffold5567|length_1031	linear	unknown	unknown
A10D_scaffold5594|length_1027	circular	unknown	unknown
A10D_scaffold5601|length_1026	linear	unknown	unknown
A10D_scaffold5702|length_1014	linear	unknown	unknown
A10D_scaffold5711|length_1012	linear	unknown	unknown
A10D_scaffold5719|length_1011	linear	unknown	unknown
A10D_scaffold5732|length_1009	linear	unknown	unknown
A10D_scaffold5752|length_1007	linear	unknown	unknown
A10D_scaffold5757|length_1007	linear	unknown	unknown
A10D_scaffold5771|length_1005	linear	unknown	unknown
A10D_scaffold5782|length_1005	linear	unknown	unknown
A10D_scaffold5791|length_1004	linear	unknown	unknown
A11D_scaffold6|length_21577	linear	unknown	unknown
A11D_scaffold21|length_14696	linear	unknown	unknown
A11D_scaffold22|length_13839	linear	unknown	unknown
A11D_scaffold23|length_13635	linear	unknown	unknown
A11D_scaffold24|length_13251	linear	unknown	unknown
A11D_scaffold31|length_11145	linear	unknown	unknown
A11D_scaffold33|length_10541	linear	unknown	unknown
A11D_scaffold56|length_7636	circular	unknown	unknown
A11D_scaffold57|length_7603	linear	unknown	unknown
A11D_scaffold60|length_7351	linear	unknown	unknown
A11D_scaffold63|length_7267	linear	unknown	unknown
A11D_scaffold64|length_7207	linear	unknown	unknown
A11D_scaffold75|length_6818	linear	unknown	unknown
A11D_scaffold84|length_6445	linear	unknown	unknown
A11D_scaffold86|length_6344	linear	unknown	unknown
A11D_scaffold96|length_5810	linear	unknown	unknown
A11D_scaffold97|length_5775	linear	unknown	unknown
A11D_scaffold98|length_5763	linear	unknown	unknown
A11D_scaffold104|length_5635	linear	unknown	unknown
A11D_scaffold106|length_5556	linear	unknown	unknown
A11D_scaffold107|length_5551	linear	unknown	unknown
A11D_scaffold111|length_5400	linear	unknown	unknown
A11D_scaffold114|length_5363	linear	unknown	unknown
A11D_scaffold118|length_5336	linear	unknown	unknown
A11D_scaffold124|length_5280	linear	unknown	unknown
A11D_scaffold129|length_5141	linear	unknown	unknown
A11D_scaffold130|length_5109	linear	unknown	unknown
A11D_scaffold138|length_4887	linear	unknown	unknown
A11D_scaffold150|length_4699	linear	unknown	unknown
A11D_scaffold162|length_4512	linear	unknown	unknown
A11D_scaffold168|length_4427	linear	unknown	unknown
A11D_scaffold170|length_4413	linear	unknown	unknown
A11D_scaffold193|length_4172	linear	unknown	unknown
A11D_scaffold195|length_4157	linear	unknown	unknown
A11D_scaffold196|length_4157	linear	unknown	unknown
A11D_scaffold203|length_4093	linear	unknown	unknown
A11D_scaffold206|length_4055	linear	unknown	unknown
A11D_scaffold208|length_4000	linear	unknown	unknown
A11D_scaffold221|length_3819	linear	unknown	unknown
A11D_scaffold223|length_3786	linear	unknown	unknown
A11D_scaffold234|length_3719	linear	unknown	unknown
A11D_scaffold242|length_3661	linear	unknown	unknown
A11D_scaffold243|length_3661	linear	unknown	unknown
A11D_scaffold247|length_3603	linear	unknown	unknown
A11D_scaffold248|length_3600	linear	unknown	unknown
A11D_scaffold249|length_3593	linear	unknown	unknown
A11D_scaffold252|length_3587	linear	unknown	unknown
A11D_scaffold263|length_3508	linear	unknown	unknown
A11D_scaffold279|length_3413	linear	unknown	unknown
A11D_scaffold282|length_3380	linear	unknown	unknown
A11D_scaffold283|length_3363	linear	unknown	unknown
A11D_scaffold286|length_3351	linear	unknown	unknown
A11D_scaffold295|length_3319	linear	unknown	unknown
A11D_scaffold300|length_3305	linear	unknown	unknown
A11D_scaffold311|length_3260	linear	unknown	unknown
A11D_scaffold313|length_3253	circular	unknown	unknown
A11D_scaffold317|length_3240	linear	unknown	unknown
A11D_scaffold345|length_3096	circular	unknown	unknown
A11D_scaffold368|length_3013	linear	unknown	unknown
A11D_scaffold373|length_3005	circular	unknown	unknown
A11D_scaffold377|length_2993	linear	unknown	unknown
A11D_scaffold395|length_2947	linear	unknown	unknown
A11D_scaffold431|length_2818	linear	unknown	unknown
A11D_scaffold457|length_2756	linear	unknown	unknown
A11D_scaffold462|length_2749	linear	unknown	unknown
A11D_scaffold467|length_2725	linear	unknown	unknown
A11D_scaffold473|length_2703	linear	unknown	unknown
A11D_scaffold475|length_2702	linear	unknown	unknown
A11D_scaffold489|length_2668	linear	unknown	unknown
A11D_scaffold493|length_2656	linear	unknown	unknown
A11D_scaffold497|length_2647	linear	unknown	unknown
A11D_scaffold519|length_2600	linear	unknown	unknown
A11D_scaffold521|length_2600	linear	unknown	unknown
A11D_scaffold550|length_2548	linear	unknown	unknown
A11D_scaffold555|length_2542	linear	unknown	unknown
A11D_scaffold576|length_2493	linear	unknown	unknown
A11D_scaffold587|length_2469	circular	unknown	unknown
A11D_scaffold589|length_2467	linear	unknown	unknown
A11D_scaffold597|length_2457	linear	unknown	unknown
A11D_scaffold599|length_2450	linear	unknown	unknown
A11D_scaffold605|length_2435	linear	unknown	unknown
A11D_scaffold608|length_2429	linear	unknown	unknown
A11D_scaffold609|length_2428	linear	unknown	unknown
A11D_scaffold612|length_2422	circular	unknown	unknown
A11D_scaffold626|length_2392	linear	unknown	unknown
A11D_scaffold633|length_2385	linear	unknown	unknown
A11D_scaffold642|length_2354	linear	unknown	unknown
A11D_scaffold650|length_2348	linear	unknown	unknown
A11D_scaffold664|length_2330	linear	unknown	unknown
A11D_scaffold675|length_2309	linear	unknown	unknown
A11D_scaffold682|length_2304	linear	unknown	unknown
A11D_scaffold683|length_2303	linear	unknown	unknown
A11D_scaffold699|length_2278	linear	unknown	unknown
A11D_scaffold703|length_2276	linear	unknown	unknown
A11D_scaffold704|length_2271	linear	unknown	unknown
A11D_scaffold712|length_2252	linear	unknown	unknown
A11D_scaffold713|length_2250	linear	unknown	unknown
A11D_scaffold716|length_2243	linear	unknown	unknown
A11D_scaffold717|length_2240	linear	unknown	unknown
A11D_scaffold722|length_2235	linear	unknown	unknown
A11D_scaffold737|length_2209	circular	unknown	unknown
A11D_scaffold745|length_2193	linear	unknown	unknown
A11D_scaffold751|length_2185	linear	unknown	unknown
A11D_scaffold759|length_2172	linear	unknown	unknown
A11D_scaffold763|length_2163	linear	unknown	unknown
A11D_scaffold764|length_2162	linear	unknown	unknown
A11D_scaffold769|length_2154	linear	unknown	unknown
A11D_scaffold780|length_2142	linear	unknown	unknown
A11D_scaffold781|length_2141	linear	unknown	unknown
A11D_scaffold784|length_2137	linear	unknown	unknown
A11D_scaffold789|length_2129	linear	unknown	unknown
A11D_scaffold797|length_2116	linear	unknown	unknown
A11D_scaffold800|length_2108	linear	unknown	unknown
A11D_scaffold803|length_2102	linear	unknown	unknown
A11D_scaffold804|length_2100	linear	unknown	unknown
A11D_scaffold806|length_2096	linear	unknown	unknown
A11D_scaffold820|length_2077	linear	unknown	unknown
A11D_scaffold824|length_2070	circular	unknown	unknown
A11D_scaffold829|length_2062	linear	unknown	unknown
A11D_scaffold834|length_2049	linear	unknown	unknown
A11D_scaffold837|length_2041	linear	unknown	unknown
A11D_scaffold840|length_2038	linear	unknown	unknown
A11D_scaffold845|length_2030	circular	unknown	unknown
A11D_scaffold847|length_2028	linear	unknown	unknown
A11D_scaffold861|length_2012	linear	unknown	unknown
A11D_scaffold880|length_1994	linear	unknown	unknown
A11D_scaffold883|length_1993	linear	unknown	unknown
A11D_scaffold910|length_1953	linear	unknown	unknown
A11D_scaffold917|length_1940	linear	unknown	unknown
A11D_scaffold932|length_1929	linear	unknown	unknown
A11D_scaffold953|length_1907	linear	unknown	unknown
A11D_scaffold961|length_1897	linear	unknown	unknown
A11D_scaffold981|length_1877	linear	unknown	unknown
A11D_scaffold990|length_1866	circular	unknown	unknown
A11D_scaffold1006|length_1850	linear	unknown	unknown
A11D_scaffold1010|length_1846	linear	unknown	unknown
A11D_scaffold1037|length_1823	linear	unknown	unknown
A11D_scaffold1045|length_1814	linear	unknown	unknown
A11D_scaffold1067|length_1802	linear	unknown	unknown
A11D_scaffold1093|length_1778	linear	unknown	unknown
A11D_scaffold1107|length_1770	linear	unknown	unknown
A11D_scaffold1112|length_1763	linear	unknown	unknown
A11D_scaffold1130|length_1752	linear	unknown	unknown
A11D_scaffold1133|length_1751	linear	unknown	unknown
A11D_scaffold1136|length_1748	linear	unknown	unknown
A11D_scaffold1189|length_1708	linear	unknown	unknown
A11D_scaffold1191|length_1708	circular	unknown	unknown
A11D_scaffold1195|length_1707	linear	unknown	unknown
A11D_scaffold1216|length_1691	circular	unknown	unknown
A11D_scaffold1233|length_1679	linear	unknown	unknown
A11D_scaffold1242|length_1674	linear	unknown	unknown
A11D_scaffold1285|length_1645	linear	unknown	unknown
A11D_scaffold1288|length_1643	linear	unknown	unknown
A11D_scaffold1299|length_1638	linear	unknown	unknown
A11D_scaffold1337|length_1613	linear	unknown	unknown
A11D_scaffold1348|length_1607	linear	unknown	unknown
A11D_scaffold1352|length_1602	linear	unknown	unknown
A11D_scaffold1357|length_1599	linear	unknown	unknown
A11D_scaffold1366|length_1594	linear	unknown	unknown
A11D_scaffold1396|length_1576	linear	unknown	unknown
A11D_scaffold1403|length_1573	linear	unknown	unknown
A11D_scaffold1431|length_1562	linear	unknown	unknown
A11D_scaffold1435|length_1560	linear	unknown	unknown
A11D_scaffold1492|length_1526	linear	unknown	unknown
A11D_scaffold1500|length_1524	linear	unknown	unknown
A11D_scaffold1502|length_1521	linear	unknown	unknown
A11D_scaffold1507|length_1517	linear	unknown	unknown
A11D_scaffold1534|length_1505	linear	unknown	unknown
A11D_scaffold1549|length_1498	linear	unknown	unknown
A11D_scaffold1553|length_1497	linear	unknown	unknown
A11D_scaffold1558|length_1493	linear	unknown	unknown
A11D_scaffold1559|length_1492	linear	unknown	unknown
A11D_scaffold1564|length_1490	linear	unknown	unknown
A11D_scaffold1568|length_1490	linear	unknown	unknown
A11D_scaffold1570|length_1489	circular	unknown	unknown
A11D_scaffold1586|length_1484	circular	unknown	unknown
A11D_scaffold1601|length_1478	circular	unknown	unknown
A11D_scaffold1604|length_1476	linear	unknown	unknown
A11D_scaffold1611|length_1473	linear	unknown	unknown
A11D_scaffold1614|length_1472	linear	unknown	unknown
A11D_scaffold1632|length_1461	linear	unknown	unknown
A11D_scaffold1633|length_1460	linear	unknown	unknown
A11D_scaffold1636|length_1458	linear	unknown	unknown
A11D_scaffold1661|length_1447	linear	unknown	unknown
A11D_scaffold1668|length_1444	linear	unknown	unknown
A11D_scaffold1678|length_1438	linear	unknown	unknown
A11D_scaffold1687|length_1435	linear	unknown	unknown
A11D_scaffold1699|length_1429	circular	unknown	unknown
